method,model,aggregation,base_version,n_seeds,train_acc_mean,train_acc_std,valid_acc_mean,valid_acc_std,mrr_mean,mrr_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,conformal_cov_a0.01_mean,conformal_cov_a0.01_std,conformal_size_a0.01_mean,conformal_size_a0.01_std,conformal_cov_a0.05_mean,conformal_cov_a0.05_std,conformal_size_a0.05_mean,conformal_size_a0.05_std,conformal_cov_a0.1_mean,conformal_cov_a0.1_std,conformal_size_a0.1_mean,conformal_size_a0.1_std
TyleR,qwen,sum,fb237_v1_ind,10,0.755154,0.046062,0.36722,0.043374,0.496418,0.034338,0.353758,0.029401,0.587227,0.053343,0.742654,0.049999,1,0,142,0,1,0,142,0,1,0,142,0
feature_translation,roberta,sum,fb237_v1_ind,10,0.642219,0.008351,0.525618,0.038312,0.625985,0.034373,0.50716,0.033615,0.698515,0.046687,0.847489,0.044831,0.995242,0.009253,114.46538,20.152424,0.954241,0.02145,26.47011,11.370239,0.896549,0.04363,10.80614,2.924934
lr_concat,roberta,sum,fb237_v1_ind,10,0.90869,0.00261,0.663475,0.036526,0.79594,0.018072,0.669654,0.025921,0.907167,0.021634,0.972417,0.014053,0.992888,0.011003,37.97616,21.393078,0.954366,0.014229,4.09186,0.56373,0.907054,0.024485,2.21362,0.192905
lr_subtract,roberta,sum,fb237_v1_ind,10,0.838768,0.004178,0.632077,0.031529,0.734978,0.030438,0.615371,0.033732,0.835249,0.036378,0.914797,0.020127,0.990466,0.008699,97.45399,32.03808,0.953312,0.015197,17.53121,4.420073,0.904313,0.032136,5.71194,0.986743
rf_concat,roberta,sum,fb237_v1_ind,10,0.891885,0.004989,0.627577,0.020525,0.736606,0.028529,0.617336,0.031791,0.832021,0.032085,0.917599,0.019553,0.995196,0.005992,100.64553,43.60606,0.953231,0.032092,14.68547,6.445707,0.906678,0.030696,6.6242,1.981224
rf_subtract,roberta,sum,fb237_v1_ind,10,0.874086,0.008341,0.541387,0.036758,0.647675,0.026464,0.524566,0.030314,0.735823,0.035706,0.844791,0.02745,1,0,142,0,0.964161,0.024606,60.85323,43.891863,0.899084,0.040086,16.15433,3.284576
lgbm_concat,roberta,sum,fb237_v1_ind,10,0.93787,0.00235,0.640599,0.026147,0.752685,0.021298,0.633927,0.028595,0.857293,0.028542,0.913284,0.019214,0.992901,0.009763,94.30286,31.719181,0.95243,0.023307,22.40421,7.161749,0.89667,0.0314,6.39238,2.091855
lgbm_subtract,roberta,sum,fb237_v1_ind,10,0.938371,0.002516,0.550685,0.0345,0.669511,0.039338,0.543003,0.048308,0.775272,0.040945,0.855629,0.029182,0.99289,0.008411,106.84587,15.681939,0.944122,0.025556,41.20041,8.552783,0.890315,0.038331,17.51475,4.324431
DistMult,roberta,sum,fb237_v1_ind,10,0.86266,0.021877,0.54603,0.029744,0.690238,0.033367,0.523281,0.051699,0.836794,0.021781,0.924727,0.017104,0.996228,0.006173,118.76364,28.003668,0.947225,0.023976,26.35168,10.74214,0.897223,0.022232,8.22254,2.304195
ComplEx,roberta,sum,fb237_v1_ind,10,0.859971,0.026814,0.551817,0.038568,0.689074,0.032456,0.524664,0.038456,0.830344,0.040127,0.923992,0.020901,0.996729,0.008825,133.75093,20.369298,0.95676,0.020475,31.62794,9.767965,0.898688,0.024608,8.64229,2.271729
RotatE,roberta,sum,fb237_v1_ind,10,0.872572,0.002456,0.54996,0.035193,0.681955,0.03634,0.522652,0.05063,0.819675,0.032238,0.906065,0.023951,1,0,142,0,1,0,142,0,0.898447,0.028149,18.61893,5.126802
IMC,roberta,sum,fb237_v1_ind,10,0.861347,0.007929,0.7062,0.031282,0.804047,0.026114,0.684939,0.036899,0.911029,0.019416,0.977198,0.013056,0.997178,0.004523,30.35737,21.248462,0.961988,0.010641,4.32736,0.907933,0.910061,0.020698,2.18295,0.195671
