model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
qwen,sum,fb237_v1_ind_seed7009,50,50.0,32,7009,0.665,0.6715,0.924,0.7944,0.7952,0.6715,0.9082,0.971,65.8,Reach max iteration 50 | best_iter=46
qwen,sum,fb237_v1_ind_seed7001,50,50.0,48,7001,0.7358,0.7056,0.8778,0.8334,0.8202,0.7056,0.9252,0.9766,66.3,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7005,50,50.0,48,7005,0.7183,0.6667,0.8995,0.8122,0.8004,0.6667,0.9381,0.9762,66.7,Reach max iteration 50 | best_iter=2
qwen,sum,fb237_v1_ind_seed7009,50,50.0,48,7009,0.6904,0.6908,0.8995,0.809,0.8065,0.6908,0.9034,0.9614,66.4,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,50,50.0,64,7001,0.715,0.6589,0.9289,0.8216,0.7952,0.6589,0.9252,0.9766,66.7,Reach max iteration 50 | best_iter=37
qwen,sum,fb237_v1_ind_seed7005,50,50.0,64,7005,0.7042,0.6524,0.9278,0.8137,0.7941,0.6524,0.919,0.9905,66.7,Reach max iteration 50 | best_iter=6
qwen,sum,fb237_v1_ind_seed7009,50,50.0,64,7009,0.6853,0.7053,0.9125,0.8097,0.8163,0.7053,0.913,0.9614,66.5,Reach max iteration 50 | best_iter=4
qwen,sum,fb237_v1_ind_seed7001,50,50.0,80,7001,0.7047,0.6495,0.9294,0.8187,0.7883,0.6495,0.9112,0.986,66.3,Reach max iteration 50 | best_iter=9
qwen,sum,fb237_v1_ind_seed7005,50,50.0,80,7005,0.6995,0.6238,0.9334,0.8096,0.7766,0.6238,0.9143,0.9952,66.9,Reach max iteration 50 | best_iter=49
qwen,sum,fb237_v1_ind_seed7009,50,50.0,80,7009,0.6853,0.7005,0.9295,0.8063,0.8082,0.7005,0.8986,0.971,66.4,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7001,50,50.0,96,7001,0.6995,0.6449,0.9309,0.8183,0.786,0.6449,0.9159,0.9813,66.4,Reach max iteration 50 | best_iter=7
qwen,sum,fb237_v1_ind_seed7005,50,50.0,96,7005,0.6995,0.6571,0.9349,0.8084,0.7937,0.6571,0.9143,0.9905,67.0,Reach max iteration 50 | best_iter=20
qwen,sum,fb237_v1_ind_seed7009,50,50.0,96,7009,0.6954,0.6908,0.907,0.813,0.8044,0.6908,0.9082,0.9807,66.3,Reach max iteration 50 | best_iter=3
qwen,sum,fb237_v1_ind_seed7001,50,100.0,16,7001,0.7358,0.7056,0.8403,0.8299,0.8237,0.7056,0.9393,0.9813,46.6,Reach max iteration 50 | best_iter=35
qwen,sum,fb237_v1_ind_seed7005,50,100.0,16,7005,0.6808,0.6619,0.8465,0.8038,0.7918,0.6619,0.9238,0.9667,44.3,Reach max iteration 50 | best_iter=9
