model,aggregation,version,k,lambda,bias,n_seeds,valid_mrr_mean,valid_mrr_std,test_mrr_mean,test_mrr_std,valid_acc_mean,valid_acc_std,test_acc_mean,test_acc_std,hits_1_mean,hits_1_std,hits_3_mean,hits_3_std,hits_10_mean,hits_10_std,train_acc_mean,train_time_mean
roberta,sum,fb237_v1_ind,150,50,16,3,0.807,0.011034,0.793,0.015233,0.694333,0.01925,0.6659,0.0387,0.6659,0.0387,0.900033,0.019966,0.977833,0.002491,0.896533,168.433333
roberta,sum,fb237_v1_ind,50,50,64,3,0.806833,0.009759,0.797767,0.007358,0.6835,0.019987,0.662633,0.019582,0.662633,0.019582,0.928733,0.008815,0.982567,0.00273,0.9144,68.266667
roberta,sum,fb237_v1_ind,175,50,32,3,0.8068,0.010949,0.797367,0.014171,0.6832,0.025656,0.6627,0.027726,0.6627,0.027726,0.920733,0.007801,0.9859,0.012265,0.9077,190.6
roberta,sum,fb237_v1_ind,150,50,96,3,0.8064,0.012376,0.802667,0.001193,0.683333,0.027558,0.671967,0.00408,0.671967,0.00408,0.9238,0.0108,0.985767,0.0045,0.919567,170.633333
roberta,sum,fb237_v1_ind,150,50,32,3,0.806367,0.014575,0.801933,0.006962,0.687733,0.028906,0.671867,0.012987,0.671867,0.012987,0.9255,0.002961,0.984167,0.002754,0.903767,172.9
roberta,sum,fb237_v1_ind,200,50,16,3,0.806,0.008586,0.792267,0.010529,0.6863,0.022863,0.662467,0.017422,0.662467,0.017422,0.9127,0.016532,0.9794,0.007239,0.908167,216.2
roberta,sum,fb237_v1_ind,50,50,32,3,0.805867,0.008193,0.7942,0.015205,0.691667,0.017403,0.662733,0.027659,0.662733,0.027659,0.911333,0.015933,0.9811,0.00915,0.896367,68.266667
roberta,sum,fb237_v1_ind,50,50,48,3,0.805633,0.016046,0.808733,0.003134,0.684633,0.030365,0.683033,0.005935,0.683033,0.005935,0.922467,0.010663,0.9842,0.005285,0.888,68.2
roberta,sum,fb237_v1_ind,100,50,64,3,0.805067,0.006372,0.798467,0.006504,0.683267,0.01224,0.670567,0.022475,0.670567,0.022475,0.9126,0.024869,0.9826,0.007139,0.911733,120.2
roberta,sum,fb237_v1_ind,100,50,48,3,0.8049,0.01249,0.809067,0.005279,0.684733,0.021634,0.684733,0.010249,0.684733,0.010249,0.9238,0.013839,0.982667,0.00952,0.9142,119.633333
roberta,sum,fb237_v1_ind,150,50,80,3,0.804333,0.0128,0.809633,0.003182,0.6832,0.030638,0.6832,0.013919,0.6832,0.013919,0.9237,0.023044,0.988967,0.0054,0.901833,171.633333
roberta,sum,fb237_v1_ind,100,50,96,3,0.804133,0.012763,0.804033,0.006137,0.6795,0.03025,0.6753,0.015969,0.6753,0.015969,0.919067,0.009437,0.979433,0.002458,0.912667,121.6
roberta,sum,fb237_v1_ind,175,50,80,3,0.803967,0.013571,0.795767,0.009136,0.6796,0.025895,0.657767,0.016376,0.657767,0.016376,0.920633,0.011191,0.984167,0.002485,0.919867,195.533333
roberta,sum,fb237_v1_ind,75,50,48,3,0.803033,0.006503,0.8039,0.008185,0.679833,0.012979,0.670633,0.02335,0.670633,0.02335,0.922267,0.008203,0.981033,0.00445,0.9099,93.6
roberta,sum,fb237_v1_ind,50,50,96,3,0.802833,0.008715,0.801633,0.015791,0.677833,0.020679,0.6723,0.033821,0.6723,0.033821,0.916033,0.001804,0.980933,0.00496,0.916567,69.1
roberta,sum,fb237_v1_ind,50,50,80,3,0.8026,0.010379,0.7977,0.009268,0.6865,0.010094,0.667433,0.028826,0.667433,0.028826,0.919033,0.017708,0.979433,0.002458,0.902733,68.7
roberta,sum,fb237_v1_ind,100,50,16,3,0.802333,0.010374,0.794733,0.018628,0.681167,0.027375,0.667667,0.041958,0.667667,0.041958,0.9096,0.010294,0.9794,0.002787,0.901133,118.366667
roberta,sum,fb237_v1_ind,125,50,16,3,0.799567,0.00935,0.787367,0.010597,0.674467,0.026348,0.651567,0.021737,0.651567,0.021737,0.909667,0.004102,0.9746,0.0028,0.916533,143.333333
roberta,sum,fb237_v1_ind,50,50,16,3,0.798833,0.006171,0.796433,0.016187,0.676267,0.018847,0.667567,0.037337,0.667567,0.037337,0.912767,0.008259,0.9826,0.002516,0.899,67.966667
roberta,sum,fb237_v1_ind,125,5,80,3,0.796333,0.015318,0.769867,0.004565,0.6797,0.035079,0.626067,0.0165,0.626067,0.0165,0.896967,0.003156,0.974667,0.007197,0.9411,142.166667
roberta,sum,fb237_v1_ind,100,10,64,3,0.7963,0.010493,0.782267,0.004292,0.672933,0.028872,0.648267,0.012203,0.648267,0.012203,0.906433,0.006837,0.9699,0.007184,0.940933,119.333333
roberta,sum,fb237_v1_ind,175,5,80,3,0.796067,0.012729,0.772,0.009971,0.6759,0.033035,0.632333,0.01566,0.632333,0.01566,0.895267,0.013891,0.973133,0.006866,0.9411,190.4
roberta,sum,fb237_v1_ind,150,10,48,3,0.7957,0.014476,0.7791,0.004618,0.674867,0.036266,0.645133,0.010923,0.645133,0.010923,0.9,0.0159,0.9684,0.015062,0.940767,169.566667
roberta,sum,fb237_v1_ind,125,10,48,3,0.795333,0.018441,0.7773,0.013105,0.666533,0.04196,0.6389,0.024105,0.6389,0.024105,0.904833,0.010424,0.976333,0.012382,0.940933,143.3
roberta,sum,fb237_v1_ind,125,10,80,3,0.795267,0.010504,0.763433,0.002043,0.672767,0.029236,0.616633,0.014123,0.616633,0.014123,0.898367,0.021485,0.974733,0.006819,0.940267,145.066667
roberta,sum,fb237_v1_ind,150,10,64,3,0.7951,0.011694,0.7771,0.009552,0.6763,0.023042,0.637133,0.020108,0.637133,0.020108,0.907933,0.013518,0.974667,0.011918,0.940933,170.8
roberta,sum,fb237_v1_ind,200,10,64,3,0.795033,0.008656,0.7739,0.0105,0.676133,0.020133,0.6403,0.004162,0.6403,0.004162,0.891933,0.028858,0.968167,0.014262,0.931267,219.233333
roberta,sum,fb237_v1_ind,150,10,96,3,0.794933,0.013188,0.7704,0.007163,0.664533,0.030605,0.626167,0.016315,0.626167,0.016315,0.909467,0.018546,0.974667,0.007197,0.940933,171.333333
roberta,sum,fb237_v1_ind,175,10,64,3,0.794133,0.011073,0.779867,0.001436,0.666233,0.027679,0.640367,0.014459,0.640367,0.014459,0.9031,0.021429,0.979333,0.007545,0.9406,194.466667
roberta,sum,fb237_v1_ind,50,5,64,3,0.793767,0.003683,0.767067,0.008292,0.673,0.016103,0.632433,0.019003,0.632433,0.019003,0.876367,0.004315,0.969933,0.006721,0.9411,67.8
roberta,sum,fb237_v1_ind,50,10,48,3,0.793667,0.017502,0.773433,0.009139,0.674333,0.031075,0.6341,0.024716,0.6341,0.024716,0.899967,0.018821,0.968333,0.004969,0.940767,68.366667
roberta,sum,fb237_v1_ind,175,10,80,3,0.793567,0.012148,0.773167,0.001159,0.6678,0.029387,0.635567,0.010221,0.635567,0.010221,0.8969,0.008466,0.973067,0.002386,0.9411,195.1
roberta,sum,fb237_v1_ind,200,5,64,3,0.793033,0.012365,0.769233,0.010262,0.667667,0.034092,0.629167,0.017388,0.629167,0.017388,0.8952,0.016,0.968233,0.007715,0.9411,214.166667
roberta,sum,fb237_v1_ind,100,10,80,3,0.792867,0.010652,0.773933,0.005273,0.671067,0.028401,0.638767,0.016839,0.638767,0.016839,0.891933,0.025756,0.973133,0.007068,0.940933,120.433333
roberta,sum,fb237_v1_ind,75,10,96,3,0.792533,0.01125,0.780133,0.003557,0.6643,0.025268,0.646733,0.017632,0.646733,0.017632,0.892133,0.011288,0.969833,0.005865,0.940933,93.233333
roberta,sum,fb237_v1_ind,100,5,80,3,0.792367,0.010205,0.7724,0.007484,0.6664,0.02767,0.6339,0.012955,0.6339,0.012955,0.898367,0.021485,0.9667,0.0053,0.9411,117.9
roberta,sum,fb237_v1_ind,100,10,96,3,0.792033,0.018258,0.770233,0.006126,0.671,0.04069,0.634033,0.012916,0.634033,0.012916,0.885533,0.031628,0.968233,0.007715,0.937767,120.9
roberta,sum,fb237_v1_ind,175,5,64,3,0.791767,0.011381,0.770233,0.006087,0.664867,0.031395,0.631,0.022439,0.631,0.022439,0.8936,0.018452,0.974567,0.005835,0.9411,193.733333
roberta,sum,fb237_v1_ind,50,10,64,3,0.7916,0.001836,0.764633,0.003763,0.669867,0.008721,0.622867,0.005658,0.622867,0.005658,0.887367,0.012618,0.969967,0.010452,0.940933,67.8
roberta,sum,fb237_v1_ind,200,10,32,3,0.7915,0.012411,0.7778,0.012474,0.665033,0.032915,0.6388,0.028626,0.6388,0.028626,0.906367,0.015148,0.9763,0.007973,0.9381,215
