model,aggregation,version,k,lambda,bias,seed,valid_acc,test_acc,train_acc,valid_mrr,test_mrr,hits_1,hits_3,hits_10,train_time,convergence
roberta,sum,fb237_v2_ind_seed7001,50,100.0,96,7001,0.6833,0.6759,0.8224,0.8085,0.7987,0.6759,0.9104,0.9829,139.5,Reach max iteration 50 | best_iter=4
roberta,sum,fb237_v2_ind_seed7005,50,100.0,96,7005,0.7032,0.6807,0.8438,0.8159,0.8085,0.6807,0.9265,0.9769,137.8,Reach max iteration 50 | best_iter=45
roberta,sum,fb237_v2_ind_seed7009,50,100.0,96,7009,0.636,0.6487,0.8565,0.7807,0.7758,0.6487,0.8772,0.9677,139.6,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7001,50,500.0,16,7001,0.6204,0.6141,0.6199,0.7388,0.7304,0.6141,0.8209,0.9211,69.0,Reach max iteration 50 | best_iter=21
roberta,sum,fb237_v2_ind_seed7005,50,500.0,16,7005,0.5979,0.6176,0.6175,0.721,0.7395,0.6176,0.834,0.9349,69.6,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7009,50,500.0,16,7009,0.5824,0.5754,0.6215,0.7129,0.7018,0.5754,0.7931,0.8987,68.6,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7001,50,500.0,32,7001,0.6226,0.6503,0.6557,0.7541,0.7617,0.6503,0.8443,0.9531,76.7,Reach max iteration 50 | best_iter=44
roberta,sum,fb237_v2_ind_seed7005,50,500.0,32,7005,0.6253,0.6471,0.6573,0.7442,0.7645,0.6471,0.8592,0.9454,79.0,Reach max iteration 50 | best_iter=17
roberta,sum,fb237_v2_ind_seed7009,50,500.0,32,7009,0.6167,0.5905,0.6494,0.741,0.7163,0.5905,0.8082,0.9224,79.9,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,50,500.0,48,7001,0.6312,0.6631,0.6756,0.762,0.7723,0.6631,0.8571,0.9531,91.9,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v2_ind_seed7005,50,500.0,48,7005,0.6358,0.645,0.6667,0.7555,0.7649,0.645,0.8571,0.9475,90.9,Reach max iteration 50 | best_iter=11
roberta,sum,fb237_v2_ind_seed7009,50,500.0,48,7009,0.6403,0.6078,0.6693,0.7608,0.7329,0.6078,0.8297,0.9353,92.0,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v2_ind_seed7001,50,500.0,64,7001,0.6443,0.6567,0.6824,0.7718,0.7708,0.6567,0.8635,0.9531,100.5,Reach max iteration 50 | best_iter=9
roberta,sum,fb237_v2_ind_seed7005,50,500.0,64,7005,0.6505,0.6534,0.6815,0.7649,0.774,0.6534,0.8761,0.958,93.1,Reach max iteration 50 | best_iter=13
roberta,sum,fb237_v2_ind_seed7009,50,500.0,64,7009,0.6531,0.6078,0.676,0.7684,0.7353,0.6078,0.8362,0.9353,98.1,Reach max iteration 50 | best_iter=41
roberta,sum,fb237_v2_ind_seed7001,50,500.0,80,7001,0.6334,0.6652,0.6934,0.7665,0.7796,0.6652,0.8742,0.9574,105.9,Reach max iteration 50 | best_iter=12
roberta,sum,fb237_v2_ind_seed7005,50,500.0,80,7005,0.6568,0.6576,0.6858,0.7734,0.7779,0.6576,0.8761,0.9643,105.3,Reach max iteration 50 | best_iter=32
roberta,sum,fb237_v2_ind_seed7009,50,500.0,80,7009,0.6445,0.6228,0.6871,0.7686,0.747,0.6228,0.847,0.9418,103.4,Reach max iteration 50 | best_iter=50
roberta,sum,fb237_v2_ind_seed7001,50,500.0,96,7001,0.6464,0.6631,0.698,0.7729,0.7797,0.6631,0.8721,0.9595,117.3,Reach max iteration 50 | best_iter=10
